Word,POS,Pronunciation,Meaning
circumstance,n,ˈsɜrkəmˌstəns,"hoàn cảnh, trường hợp, tình huống"
citizen,n,´sitizən,người thành thị
city,n,si:ti,thành phố
civil,adj,sivl,(thuộc) công dân
claim,"v, n",kleim,"đòi hỏi, yêu sách"
clap,"v, n",klæp,"vỗ, vỗ tay"
class,n,klɑ:s,lớp học
classic,"adj, n",klæsik,"cổ điển, kinh điển"
classroom,n,klα:si,"lớp học, phòng học"
clean,"adj, v",kli:n,"sạch, sạch sẽ"
clear,"adj, v",kli:n,"lau chùi, quét dọn"
clearly,adv,´kliəli,"rõ ràng, sáng sủa"
clerk,n,kla:k,"thư ký, linh mục, mục sư"
clever,adj,klevə,"lanh lợi, thông minh"
click,"v, n",klik,làm thành tiếng lách cách
client,n,´klaiənt,khách hàng
climate,n,klaimit,"khí hậu, thời tiết"
climb,v,klaim,"leo, trèo"
climbing,n,´klaimiη,sự leo trèo
clock,n,klɔk,đồng hồ
close,adj,klouz,"đóng kín, chật chội, che đậy"
closed,adj,klouzd,"bảo thủ, không cởi mở, khép kín"
closely,adv,´klousli,"chặt chẽ, kỹ lưỡng, tỉ mỉ"
closet,n,klozit,"buồng, phòng để đồ, phòng kho"
cloth,n,klɔθ,"vải, khăn trải bàn, áo thầy tu"
clothes,n,klouðz,quần áo
clothing,n,´klouðiη,"quần áo, y phục"
cloud,n,klaud,"mây, đám mây"
club,n,´klʌb,câu lạc bộ
coach,n,koʊtʃ,huấn luyện viên
coal,n,koul,than đá
coast,n,koust,sự lao dốc
coat,n,koʊt,áo choàng
code,n,koud,"mật mã, luật, điều lệ"
coffee,n,kɔfi,cà phê
coin,n,kɔin,tiền kim loại
cold,"adj, n",kould,"lạnh, sự lạnh lẽo, lạnh nhạt"
coldly,adv,kouldli,"lạnh nhạt, hờ hững, vô tâm"
collapse,"v, n",kз'læps,"đổ, sụp đổ"
colleague,n,ˈkɒlig,bạn đồng nghiệp
collect,v,kə´lekt,"sưu tập, tập trung lại"
collection,n,kəˈlɛkʃən,"sự sưu tập, sự tụ họp"
college,n,kɔlidʤ,"trường cấo đẳng, trường đại học"
color,"n, v",kʌlə,màu sắc
colour,"n, v",kʌlə,màu sắc
coloured,adj,´kʌləd,"mang màu sắc, có màu sắc"
column,n,kɔləm,"cột , mục (báo)"
combination,n,",kɔmbi'neiʃn","sự kết hợp, sự phối hợp"
combine,v,kɔmbain,"kết hợp, phối hợp"
come,v,kʌm,"đến, tới, đi đến, đi tới"
comedy,n,´kɔmidi,hài kịch
comfort,"n, v",kΔmfзt,"sự an ủi, khuyên giải, lời động viên, sự an nhàn"
comfortable,adj,kΔmfзtзbl,"thoải mái, tiện nghi, đầy đủ"
comfortably,adv,´kʌmfətəbli,"dễ chịu, thoải mái, tiện nghi, ấm cúng"
command,"v, n",kə'mɑ:nd,"ra lệnh, chỉ huy"
comment,"n, v",ˈkɒment,"lời bình luận, lời chú giải"
commercial,adj,kə'mə:ʃl,"buôn bán, thương mại"
commission,"n, v",kəˈmɪʃən,"hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác"
commit,v,kə'mit,"giao, gửi, ủy nhiệm, ủy thác"
commitment,n,kə'mmənt,"sự phạm tội, sự tận tụy, tận tâm"
committee,n,kə'miti,ủy ban
common,adj,kɔmən,"công, công cộng, thông thường, phổ biến"
commonly,adv,´kɔmənli,"thông thường, bình thường"
communicate,v,kə'mju:nikeit,"truyền, truyền đạt"
communication,n,"kə,mju:ni'keiʃn","sự giao tiếp, liên lạc, sự truyền đạt, truyền tin"
community,n,kə'mju:niti,"dân chúng, nhân dân"
company,n,´kʌmpəni,công ty
compare,v,kəm'peə(r),"so sánh, đối chiếu"
comparison,n,kəm'pærisn,sự so sánh
compete,v,kəm'pi:t,"đua tranh, ganh đua, cạnh tranh"
competition,n,",kɔmpi'tiʃn","sự cạnh tranh, cuộc thi, cuộc thi đau"
competitive,adj,kəm´petitiv,"cạnh tranh, đua tranh"
complain,v,kəm´plein,"phàn nàn, kêu ca"
complaint,n,kəmˈpleɪnt,"lời than phiền, than thở"
complete,"adj, v",kəm'pli:t,"hoàn thành, xong"
completely,adv,kзm'pli:tli,"hoàn thành, đầy đủ, trọn vẹn"
complex,adj,kɔmleks,"phức tạp, rắc rối"
complicate,v,komplikeit,"làm phức tạp, rắc rối"
complicated,adj,komplikeitid,"phức tạp, rắc rối"
computer,n,kəm'pju:tə,máy tính
concentrate,v,kɔnsentreit,tập trung
concentration,n,",kɒnsn'trei∫n","sự tập trung, nơi tập trung"
concept,n,ˈkɒnsept,khái niệm
concern,"v, n",kən'sз:n,"liên quan, dính líu tới"
concerned,adj,kən´sə:nd,"có liên quan, có dính líu"
concerning,n,kən´sə:niη,"có liên quan, dính líu tới"
concert,n,kən'sə:t,buổi hòa nhạc
conclude,v,kənˈklud,"kết luận, kết thúc, chấm dứt (công việc)"
conclusion,n,kənˈkluʒən,"sự kết thúc, sự kết luận, phần kết luận"
concrete,"adj, n",kɔnkri:t,bằng bê tông
condition,n,kən'di∫ən,"điều kiện, tình cảnh, tình thế"
conduct,"v, n",kən'dʌkt,"điều khiển, chỉ đạo, chỉ huy"
conference,n,ˈkɒnfrəns,"hội nghị, sự bàn bạc"
confidence,n,konfid(ə)ns,"lòng tin tưởng, sự tin cậy"
confident,adj,kɔnfidənt,"tin tưởng, tin cậy, tự tin"
confidently,adv,kɔnfidəntli,tự tin
confine,v,kən'fain,"giam giữ, hạn chế"
confined,adj,kən'faind,"hạn chế, giới hạn"
confirm,v,kən'fə:m,"xác nhận, chứng thực"
conflict,"n, v",ˈkɒnflɪkt,"xung đột, va chạm"
confront,v,kən'frʌnt,"đối mặt, đối diện, đối chiếu"
confuse,v,kən'frʌnt,"làm lộn xộn, xáo trộn"
confused,adj,kən'fju:zd,"bối rối, lúng túng, ngượng"
confusing,adj,kən'fju:ziη,"khó hiểu, gây bối rối"
confusion,n,kən'fju:ʒn,"sự lộn xộn, sự rối loạn"
congratulations,n,"kən,grætju'lei∫n","sự chúc mưng, khen ngợi"
congress,n,kɔɳgres,"đại hội, hội nghị, Quốc hội"
connect,v,kə'nekt,"kết nối, nối"
connection,n,"kə´nekʃən,","sự kết nối, sự giao kết"
conscious,adj,ˈkɒnʃəs,"tỉnh táo, có ý thức, biết rõ"
consequence,n,kɔnsikwəns,"kết quả, hậu quả"
conservative,adj,kən´sə:vətiv,"thận trọng, dè dặt, bảo thủ"
consider,v,kən´sidə,"cân nhắc, xem xét"
considerable,adj,kən'sidərəbl,"lớn lao, to tát, đáng kể"
considerably,adv,kən'sidərəbly,"đáng kể, lớn lao, nhiều"
consideration,n,kənsidə'reiʃn,"sự cân nhắc, sự xem xét, sự để ý sự quan tâm"
consist of,v,kən'sist,gồm có
constant,adj,kɔnstənt,"kiên trì, bền lòng"
constantly,adv,kɔnstəntli,kiên định
construct,v,kən´strʌkt,xây dựng
construction,n,kən'strʌkʃn,sự xây dựng
consult,v,kən'sʌlt,"tra cứu, tham khảo, thăm dò, hỏi kiến"
consumer,n,kən'sju:mə,người tiêu dùng
contact,"n, v",ˈkɒntækt,"sự liên lạc, sự giao thiệp"
contain,v,kən'tein,"bao hàm, chứa đựng, bao gồm"
container,n,kən'teinə,"cái đựng, chứa"
contemporary,adj,kən'tempərəri,"đương thời, đương đại"
content,n,kən'tent,"nội dung, sự hài lòng"
contest,n,kən´test,"cuộc thi, trận đấu, cuộc tranh luận cuộc chiến đấu, chiến tranh"
context,n,kɔntekst,"văn cảnh, khung cảnh, phạm vi"
continent,n,kɔntinənt,"lục địa, đại lục (lục địa Bắc Mỹ)"
continue,v,kən´tinju:,"tiếp tục, làm tiếp"
continuous,adj,kən'tinjuəs,"liên tục, liên tiếp"
continuously,adv,kən'tinjuəsli,"liên tục, liên tiếp"
contract,"n, v",kɔntrækt,"hợp đồng, sự ký hợp đồng"
contrast,"n, v",kən'træst,sự tương phản
contrasting,adj,kən'træsti,tương phản
contribute,v,kən'tribju:t,"đóng góp, ghóp phần"
contribution,n,¸kɔntri´bju:ʃən,"sự đóng góp, sự góp phần"
control,"n, v",kən'troul,"sự điều khiển, quyền hành, quyền lực, quyền chỉ huy"
controlled,adj,kən'trould,"được điều khiển, được kiểm tra"
convenient,adj,kən´vi:njənt,"tiện lợi, thuận lợi, thích hợp"
convention,n,kən'ven∫n,"hội nghị, hiệp định, quy ước"
conventional,adj,kən'ven∫ənl,quy ước
conversation,n,",kɔnvə'seiʃn","cuộc đàm thoại, cuộc trò chuyện"
convert,v,kən'və:t,"đổi, biến đổi"
convince,v,kən'vins,"làm cho tin, thuyết phục"
cook,"v, n",kʊk,"nấu ăn, người nấu ăn"
cooker,n,´kukə,"lò, bếp, nồi nấu"
cookie,n,´kuki,bánh quy
cooking,n,kʊkiɳ,"sự nấu ăn, cách nấu ăn"
cool,"adj, v",ku:l,"mát mẻ, điềm tĩnh"
copy,"n, v",kɔpi,"bản sao, bản chép lại"
core,n,kɔ:,"nòng cốt, hạt nhân"
corner,n,´kɔ:nə,"góc (tường, nhà, phố"
correct,"adj, v",kə´rekt,"đúng, chính xác"
correctly,adv,kə´rektli,"đúng, chính xác"
cost,"n, v","kɔst , kɒst","giá, chi phí"
cottage,n,kɔtidʤ,nhà tranh
cotton,n,ˈkɒtn,"bông, chỉ, sợi"
cough,"v, n",kɔf,"ho, sự ho, tiếng hoa"
coughing,n,´kɔfiη,ho
could,"modal, v",kud,có thể
council,n,kaunsl,hội đồng
count,v,kaunt,"đếm, tính"
counter,n,ˈkaʊntər,"quầy hàng, quầy thu tiền, máy đếm"
country,n,ˈkʌntri,"nước, quốc gia, đất nước"
countryside,n,kʌntri'said,"miền quê, miền nông thôn"
county,n,koun'ti,"hạt, tỉnh"
couple,n,kʌpl,"đôi, cặp"
courage,n,kʌridʤ,"sự can đảm, sự dũng cảm, dũng khí"
course,n,kɔ:s,"tiến trình, quá trình diễn tiến"
court,n,"kɔrt , koʊrt","sân, sân (tennis"
cousin,n,ˈkʌzən,anh em họ
cover,"v, n",kʌvə,"bao bọc, che phủ"
covered,adj,kʌvərd,"có mái che, kín đáo"
covering,n,´kʌvəriη,"sự bao bọc, sự che phủ, cái bao, bọc"
cow,n,kaʊ,con bò cái
crack,"n, v",kræk,"cừ, xuất sắc"
cracked,adj,krækt,"rạn, nứt"
craft,n,kra:ft,"nghề, nghề thủ công"
crash,"n, v",kræʃ,vải thô
crazy,adj,kreizi,"điên, mất trí"
cream,n,kri:m,kem
create,v,kri:'eit,"sáng tạo, tạo nên"
creature,n,kri:tʃə,"sinh vật, loài vật"
credit,n,ˈkrɛdɪt,"sự tin, lòng tin, danh tiếng"
credit card,n,ˈkrɛdɪt,thẻ tín dụng
crime,n,kraim,"tội, tội ác, tội phạm"
criminal,"adj, n",ˈkrɪmənl,"có tội, phạm tội"
crisis,n,ˈkraɪsɪs,"sự khủng hoảng, cơn khủng hoảng"
crisp,adj,krips,giòn
criterion,n,kraɪˈtɪəriən,tiêu chuẩn
critical,adj,ˈkrɪtɪkəl,"phê bình, phê phán"
criticism,n,´kriti¸sizəm,"sự phê bình, sự phê phán, lời phê bình, lời phê phán"
criticize,v,ˈkrɪtəˌsaɪz,"phê bình, phê phán, chỉ trích"
crop,n,krop,vụ mùa
cross,"n, v",krɔs,"cây Thánh Giá, nỗi thống khổ"
crowd,n,kraud,đám đông
crowded,adj,kraudid,đông đúc
crown,n,kraun,"vương miện, vua, ngai vàng"
crucial,adj,´kru:ʃəl,"quyết định, cốt yếu, chủ yếu"
cruel,adj,kru:ə(l),"độc ác, dữ tợn, tàn nhẫn"
crush,v,krᴧ∫,"ép, vắt, đè nát, đè bẹp"
cry,"v, n",krai,"khóc, kêu la"
cultural,adj,ˈkʌltʃərəl,(thuộc) văn hóa
culture,n,ˈkʌltʃər,"văn hóa, sự mở mang, sự giáo dục"
cup,n,kʌp,"tách, chén"
cupboard,n,kʌpbəd,1 loại tủ có ngăn
curb,v,kə:b,"kiềm chế, nén lại, hạn chế"
cure,"v, n",kjuə,"chữa trị, điều trị"
curious,adj,kjuəriəs,"ham muốn, tò mò, lạ lùng"
curiously,adv,kjuəriəsli,"tò mò, hiếu kỳ, lạ kỳ"
curl,"v, n",kə:l,"quăn, xoắn, uốn quăn, làm xoắn"
curly,adj,´kə:li,"quăn, xoắn"
current,"adj, n",kʌrənt,"hiện hành, phổ biến, hiện nấy"
currently,adv,kʌrəntli,"hiện thời, hiện nay"
curtain,n,kə:tn,"màn (cửa, rạp hát, khói, sương)"
curve,"n, v",kə:v,"đường cong, đường vòng"
curved,adj,kə:vd,cong
custom,n,kʌstəm,"phong tục, tục lệ, thói quen, tập quán"
customer,n,´kʌstəmə,khách hàng
customs,n,´kʌstəmz,"thuế nhập khẩu, hải quan"
cut,"v, n",kʌt,"cắt, chặt"
cycle,"n, v",saikl,"chu kỳ, chu trình, vòng"
cycling,n,saikliŋ,sự đi xe đạp
dad,n,dæd,"bố, cha"
daily,adj,deili,hàng ngày
damage,"n, v",dæmidʤ,"mối hạn, điều hại, sự thiệt hại"
damp,adj,dæmp,"ẩm, ẩm ướt, ẩm thấp"
dance,"n, v",dɑ:ns,"sự nhảy múa, sự khiêu vũ"
dancer,n,dɑ:nsə,"diễn viên múa, người nhảy múa"
dancing,n,dɑ:nsiɳ,"sự nhảy múa, sự khiêu vũ"
danger,n,deindʤə,"sự nguy hiểm, mối hiểm nghèo"
dangerous,adj,´deindʒərəs,nguy hiểm
dare,v,deər,"dám, dám đương đầu với"
dark,"adj, n",dɑ:k,"tối, tối tăm"
data,n,´deitə,"số liệu, dữ liệu"
date,"n, v",deit,"ngày, kỳ, kỳ hạn, thời kỳ, thời đại"
daughter,n,ˈdɔtər,con gái
day,n,dei,"ngày, ban ngày"
dead,adj,ded,"chết, tắt"
deaf,adj,def,"điếc, làm thinh, làm ngơ"
deal,"v, n",di:l,quyết
dear,adj,diə,"thân, thân yêu, thân mến"
death,n,deθ,"sự chết, cái chết"
debate,"n, v",dɪˈbeɪt,"cuộc tranh luận, cuộc tranh cãi"
debt,n,det,nợ
decade,n,dekeid,"thập kỷ, bộ mười, nhóm mười"
decay,"n, v",di'kei,"tình trạng suy tàn, suy sụp, tình trạng đổ nát"
decide,v,di'said,"quyết định, giải quyết, phân xử"
decision,n,diˈsiʒn,"sự quyết định, sự giải quyết, sự phân xử"
declare,v,di'kleə,"tuyên bố, công bố"
decline,"n, v",di'klain,"sự suy tàn, sự suy sụp"
decorate,v,´dekə¸reit,"trang hoàng, trang trí"
decoration,n,¸dekə´reiʃən,"sự trang hoàng, đồ trang hoàng, trang trí"
decorative,adj,´dekərətiv,"để trang hoàng, để trang trí, để làm cảnh"
decrease,"v, n",di:kri:s,"giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút"
deep,"adj, adv",di:p,"sâu, khó lường, bí ẩn"
deeply,adv,´di:pli,"sâu, sâu xa, sâu sắc"
defeat,"v, n",di'fi:t,"đánh thắng, đánh bại"
defence,n,di'fens,"cái để bảo vệ, vật để chống đỡ, sự che chở"
defend,v,di'fend,"che chở, bảo vệ, bào chữa"
define,v,di'fain,định nghĩa
definite,adj,də'finit,"xác định, định rõ, rõ ràng"
definitely,adv,definitli,"rạch ròi, dứt khoát"
definition,n,defini∫n,"sự định nghĩa, lời định nghĩa"
degree,n,dɪˈgri:,"mức độ, trình độ"
delay,"n, v",dɪˈleɪ,"sự chậm trễ, sự trì hoãn, sự cản trở"
deliberate,adj,di'libəreit,"thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc"
deliberately,adv,di´libəritli,"thận trọng, có suy nghĩ cân nhắc"
delicate,adj,delikeit,"thanh nhã, thanh tú, tế nhị, khó xử"
delight,"n, v",di'lait,mê
delighted,adj,di'laitid,"vui mừng, hài lòng"
deliver,v,di'livə,"cứu khỏi, thoát khỏi, bày tỏ, giãi bày"
delivery,n,di'livəri,"sự phân phát, sự phân phối, sự giao hàng"
demand,"n, v",dɪ.ˈmænd,"sự đòi hỏi, sự yêu cầu"
demonstrate,v,ˈdɛmənˌstreɪt,"chứng minh, giải thích"
dentist,n,dentist,nha sĩ
deny,v,di'nai,"từ chối, phản đối, phủ nhận"
department,n,di'pɑ:tmənt,"cục, sở, ty, ban, khoa"
departure,n,di'pɑ:tʃə,"sự rời khỏi, sự đi, sự khởi hành"
depend,"on, v",di'pend,"phụ thuộc, tùy thuộc"
deposit,"n, v",dɪˈpɒzɪt,"vật gửi, tiền gửi, tiền đặt cọc"
depress,v,di´pres,"làm chán nản, làm phiền muộn"
depressed,adj,di-'prest,"chán nản, thất vọng, phiền muộn"
depressing,adj,di'presiη,"làm chán nản làm thát vọng, làm trì trệ"
depth,n,depθ,"chiều sâu, độ dày"
derive,v,di´raiv,"phát từ, bắt nguồn, chuyển hóa từ (from)"
describe,v,dɪˈskraɪb,"diễn tả, miêu tả, mô tả"
description,n,dɪˈskrɪpʃən,"sự mô tả, sự tả, sự miêu tả"
desert,"n, v",ˈdɛzərt,sa mạc
deserted,adj,di'zз:tid,"hoang vắng, không người ở"
deserve,v,di'zз:v,"đáng, xứng đáng"
design,"n, v",di´zain,"sự thiết kế, kế hoạch, đề cương"
desire,"n, v",di'zaiə,ước muốn
desk,n,desk,"bàn (học sinh, viết, làm việc)"
desperate,adj,despərit,"liều mạng, liều lĩnh"
desperately,adv,despəritli,"liều lĩnh, liều mạng"
despite,prep,dis'pait,"dù, mặc dù, bất chấp"
destroy,v,dis'trɔi,"phá, phá hoại, phá huỷ, tiêu diệt, triệt phá"
destruction,n,dis'trʌk∫n,"sự phá hoại, sự phá hủy, sự tiêu diệt"
detail,n,(n) ˈditeɪl ; (v) dɪˈteɪl,chi tiết
detailed,adj,di:teild,"cặn kẽ, tỉ mỉ, nhiều chi tiết"
determination,n,"di,tə:mi'neiʃn","sự xác định, sự định rõ"
determine,v,di'tз:min,"xác định, định rõ"
determined,adj,di´tə:mind,"đã được xác định, đã được xác định rõ"
develop,v,di'veləp,"phát triển, mở rộng"
development,n,di’veləpmənt,"sự phát triển, sự trình bày, sự bày tỏ"
device,n,di'vais,kế sách
devote,v,di'vout,"hiến dâng, dành hết cho"
devoted,adj,di´voutid,"hiến cho, dâng cho, dành cho"
diagram,n,ˈdaɪəˌgræm,biểu đồ
diamond,n,´daiəmənd,kim cương
diary,n,daiəri,sổ nhật ký
dictionary,n,dikʃənəri,từ điển
die,v,daɪ,"chết, tư trần, hy sinh"
diet,n,daiət,"chế độ ăn uống, chế độ ăn kiêng"
difference,n,"ˈdɪfərəns , ˈdɪfrəns",sự khác nhau
different,adj,difrзnt,"khác, khác biệt, khác nhau"
differently,adv,difrзntli,"khác, khác biệt, khác nhau"
difficult,adj,difik(ə)lt,"khó, khó khăn, gấy go"
difficulty,n,difikəlti,"sự khó khăn, nỗi khó khăn, điều cản trở"
dig,v,dɪg,"đào bới, xới"
dinner,n,dinə,"bữa trưa, chiều"
direct,"adj, v",di'rekt; dai'rekt,"trực tiếp, thẳng, thẳng thắn"
direction,n,di'rek∫n,"sự điều khiển, sự chỉ huy"
directly,adv,dai´rektli,"trực tiếp, thẳng"
director,n,di'rektə,"giám đốc, người điều khiển, chỉ huy"
dirt,n,də:t,"đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi"
dirty,adj,´də:ti,"bẩn thỉu, dơ bẩn"
disabled,adj,dis´eibld,"bất lực, không có khả năng"
disadvantage,n,dɪsədˈvɑntɪdʒ,"sự bất lợi, sự thiệt hại"
disagree,v,¸disə´gri:,"bất đồng, không đồng ý, khác, không giống"
disagreement,n,¸disəg´ri:mənt,"sự bất đồng, sự không đồng ý, sự khác nhau"
disappear,v,disə'piə,"biến mất, biến đi"
disappoint,v,ˌdɪsəˈpɔɪnt,"không làm thỏa ước nguyện, ý mong đợi"
disappointed,adj,",disз'pointid",thất vọng
disappointing,adj,¸disə´pɔintiη,"làm chán ngán, làm thất vọng"
disappointment,n,¸disə´pɔintmənt,"sự chán ngán, sự thất vọng"
disapproval,n,¸disə´pru:vl,"sự phản đổi, sự không tán thành"
disapprove,"of, v",¸disə´pru:v,"không tán thành, phản đối, chê"
disapproving,adj,¸disə´pru:viη,phản đối
disaster,n,di'zɑ:stə,"tai họa, thảm họa"
disc,n,disk,đĩa
disk,n,disk,đĩa
discipline,n,disiplin,kỷ luật
discount,n,diskaunt,"sự bớt giá, sự chiết khấu, tiền bớt chiết khấu"
discover,v,dis'kʌvə,"khám phá, phát hiện ra, nhận ra"
discovery,n,dis'kʌvəri,"sự khám phá, sự tìm ra, sự phát hiện ra"
discuss,v,dis'kΛs,"thảo luận, tranh luận"
discussion,n,dis'kʌʃn,"sự thảo luận, sự tranh luận"
disease,n,di'zi:z,"căn bệnh, bệnh tật"
disgust,"v, n",dis´gʌst,"làm ghê tởm, làm kinh tởm, làm phẫn nộ"
disgusted,adj,dis´gʌstid,"chán ghét, phẫn nộ"
disgusting,adj,dis´gʌstiη,"làm ghê tởm, kinh tởm"
dish,n,diʃ,đĩa (đựng thức ăn)
dishonest,adj,dis´ɔnist,"bất lương, không thành thật"
dishonestly,adv,dis'onistli,"bất lương, không lương thiện"
disk,n,disk,"đĩa, đĩa hát"
dislike,"v, n",dis'laik,"sự không ưa, không thích, sự ghé"
dismiss,v,dis'mis,"giải tán (quân đội, đám đông)"
display,"v, n",dis'plei,"bày tỏ, phô trương, trưng bày"
dissolve,v,dɪˈzɒlv,"tan rã, phân hủy, giải tán"
distance,n,distəns,"khoảng cách, tầm xa"
distinguish,v,dis´tiηgwiʃ,"phân biệt, nhận ra, nghe ra"
distribute,v,dis'tribju:t,"phân bổ, phân phối, sắp xếp, phâ loại"
distribution,n,",distri'bju:ʃn","sự phân bổ, sự phân phối, phân phát, sự sắp xếp"
district,n,distrikt,"huyện, quận"
disturb,v,dis´tə:b,"làm mất yên tĩnh, làm náo động, quấy rầy"
disturbing,adj,dis´tə:biη,xáo trộn
divide,v,di'vaid,"chia, chia ra, phân ra"
division,n,dɪ'vɪʒn,"sự chia, sự phân chia, sự phân loại"
divorce,"n, v",di´vɔ:s,sự ly dị
divorced,adj,di'vo:sd,đã ly dị
document,n,dɒkjʊmənt,"văn kiện, tài liệu, tư liệu"
dog,n,dɔg,chó
dollar,n,´dɔlə,đô la Mỹ
domestic,adj,də'mestik,"vật nuôi trong nhà, (thuộc) nội trợ, quốc nội"
dominate,v,ˈdɒməˌneɪt,"chiếm ưu thế, có ảnh hưởng, chi phối"
door,n,dɔ:,"cửa, cửa ra vào"
dot,n,dɔt,"chấm nhỏ, điểm"
double,,dʌbl,"đôi, hai, kép"
doubt,"n, v",daut,"sự nghi ngờ, sự ngờ vực"
down,"adv, prep",daun,xuống
downstairs,"adv, adj, n",daun'steзz,"ở dưới nhà, ở tầng dưới"
downward,adj,´daun¸wəd,"xuống, đi xuống"
downwards,adv,´daun¸wədz,"xuống, đi xuống"
dozen,ndet,dʌzn,tá (12)
draft,"n, adj, v",dra:ft,"bản phác thảo, sơ đồ thiết kế"
drag,v,drӕg,"lôi kéo, kéo lê"
drama,n,drɑː.mə,"kịch, tuồng"
dramatic,adj,drə´mætik,"như kịch, như đóng kịch, thích hợp với sân khấu"
dramatically,adv,drə'mætikəli,đột ngột
draw,v,dro:,"vẽ, kéo"
drawer,n,´drɔ:ə,"người vẽ, người kéo"
drawing,n,dro:iŋ,"bản vẽ, bức vẽ, sự kéo"
dream,"n, v",dri:m,"giấc mơ, mơ"
dress,"n, v",dres,"quần áo, mặc (quần áo), ăn mặc"
dressed,adj,dres,cách ăn mặc
drink,"n, v",driɳk,đồ uống
drive,"v, n",draiv,"lái , đua xe"
driver,n,draivə(r),người lái xe
driving,n,draiviɳ,"sự lái xe, cuộc đua xe"
drop,"v, n",drɒp,"chảy nhỏ giọt, rơi, rớt"
drug,n,drʌg,"thuốc, dược phẩm"
drugstore,n,drʌgstɔ:,"hiệu thuốc, cửa hàng dược phẩm"
drum,n,drʌm,"cái trống, tiếng trống"
editor,n,´editə,"người thu thập và xuất bản, chủ bút"
educate,v,edju:keit,"giáo dục, cho ăn học"
educated,adj,edju:keitid,"được giáo dục, được đào tạo"
education,n,",edju:'keiʃn","sự giáo dục, sự rèn luyện (kỹ năng)"
effect,n,i'fekt,"hiệu ứng, hiệu quả, kết quả"
effective,adj,ifektiv,"có kết quả, có hiệu lực"
effectively,adv,i'fektivli,"có kết quả, có hiệu lực"
efficient,adj,i'fiʃənt,"có hiệu lực, có hiệu quả"
efficiently,adv,i'fiʃəntli,"có hiệu quả, hiệu nghiệm"
effort,n,´efə:t,"sự cố gắng, sự nỗ lực"
egg,n,eg,trứng
elbow,n,elbou,khuỷu tay
elderly,adj,´eldəli,"có tuổi, cao tuổi"
elect,v,i´lekt,"bầu, quyết định"
election,n,i´lekʃən,"sự bầu cử, cuộc tuyển cử"
electric,adj,ɪˈlɛktrɪk,"(thuộc) điện, có điện, phát điện"
electrical,adj,i'lektrikəl,(thuộc) điện
electricity,n,ilek'trisiti,"điện, điện lực"
electronic,adj,"ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk",(thuộc) điện tử
elegant,adj,´eligənt,"thanh lịch, tao nhã"
element,n,ˈɛləmənt,"yếu tố, nguyên tố"
elevator,n,ˈɛləˌveɪtər,"máy nâng, thang máy"
else,adv,els,"khác, nữa"
elsewhere,adv,¸els´wɛə,ở một nơi nào khác
email,"n, v",imeil,thư điện tử
e-mail,"n, v",imeil,thư điện tử
embarrass,v,im´bærəs,"lúng túng, làm ngượng nghịu"
embarrassed,adj,im´bærəst,"lúng túng, bối rối, ngượng"
embarrassing,adj,im´bærəsiη,"làm lúng túng, ngăn trở"
embarrassment,n,im´bærəsmənt,"sự lúng túng, sự bối rối"
emerge,v,i´mə:dʒ,"nổi lên, hiện ra"
emergency,n,i'mз:dЗensi,tình trạng khẩn cấp
emotion,n,i'moƱʃ(ə)n,"xự xúc động, sự cảm động, mối xác cảm"
emotional,adj,i´mouʃənəl,"cảm động, xúc động, xúc cảm"
emotionally,adv,i´mouʃənəli,xúc động
emphasis,n,´emfəsis,"sự nhấn mạnh, tầm quan trọng"
emphasize,v,ˈɛmfəˌsaɪz,"nhấn mạnh, làm nổi bật"
empire,n,empaiə,"đế chế, đế quốc"
employ,v,im'plɔi,"dùng, thuê ai làm gì"
employee,n,¸emplɔi´i:,"người lao động, người làm công"
employer,n,em´plɔiə,"chủ, người sử dụng lao động"
employment,n,im'plɔimənt,sự thuê mướn
empty,"adj, v",empti,"trống, rỗng"
enable,v,i'neibl,"làm cho có thể, có khả năng"
encounter,"v, n",in'kautə,"chạm chán, bắt gặp"
encourage,v,in'kΔridЗ,"động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn"
encouragement,n,in´kʌridʒmənt,"niềm cổ vũ, động viên, khuyến khích"
end,"n, v",end,"giới hạn, sự kết thúc"
ending,n,´endiη,"sự kết thúc, sự chấm dứt"
enemy,n,enəmi,"kẻ thù, quân địch"
energy,n,ˈɛnərdʒi,"năng lượng, nghị lực, sinh lực"
engage,v,in'geidʤ,"hứa hẹn, cam kết, đính ước"
engaged,adj,in´geidʒd,"đã đính ước, đã hứa hôn"
engine,n,en'ʤin,"máy, động cơ"
engineer,n,endʒi'niər,kỹ sư
engineering,n,",enʤɪ'nɪərɪŋ","nghề kỹ sư, công việc của kỹ sư"
enjoy,v,in'dЗoi,"thưởng thức, thích thú cái gì, được hưởng, có được"
enjoyable,adj,in´dʒɔiəbl,"thú vị, thích thú"
enjoyment,n,in´dʒɔimənt,"sự thích thú, sự có được, được hưởng"
enormous,adj,i'nɔ:məs,"to lớn, khổng lồ"
enough,"det, pron, adv",i'nʌf,đủ
