id,Word,POS,Pronunciation,Meaning,Syllables,Root_Word,Count
892,depressing,adj,di'presiη,"làm chán nản làm thát vọng, làm trì trệ",3,depress,10
893,depth,n,depθ,"chiều sâu, độ dày",1,depth,5
894,derive,v,di´raiv,"phát từ, bắt nguồn, chuyển hóa từ",2,derive,6
895,describe,v,dɪˈskraɪb,"diễn tả, miêu tả, mô tả",2,describe,8
896,description,n,dɪˈskrɪpʃən,"sự mô tả, sự tả, sự miêu tả",3,description,11
897,desert,"n, v",ˈdɛzərt,sa mạc,1,desert,6
898,deserted,adj,di'zз:tid,"hoang vắng, không người ở",2,desert,8
899,deserve,v,di'zз:v,"đáng, xứng đáng",1,deserve,7
900,design,n,di´zain,"sự thiết kế, kế hoạch, đề cương, phác thảo",2,design,6
901,design,v,di´zain,"phác họa, thiết kế",2,design,6
902,desire,n,di'zaiə,ước muốn,3,desire,6
903,desire,v,di'zaiə,"thèm muốn, ao ước",3,desire,6
904,desk,n,desk,"bàn (học sinh, viết, làm việc)",1,desk,4
905,desperate,adj,despərit,"liều mạng, liều lĩnh",3,desperate,9
906,desperately,adv,despəritli,"liều lĩnh, liều mạng",4,desperately,11
907,despite,prep,dis'pait,"dù, mặc dù, bất chấp",2,despite,7
908,destroy,v,dis'trɔi,"phá, phá hoại, phá huỷ, tiêu diệt, triệt phá",3,destroy,7
909,destruction,n,dis'trʌk∫n,"sự phá hoại, sự phá hủy, sự tiêu diệt",2,destruction,11
910,detail,n,(n) ˈditeɪl ; (v) dɪˈteɪl,chi tiết,5,detail,6
911,detailed,adj,di:teild,"cặn kẽ, tỉ mỉ, nhiều chi tiết",3,detail,8
912,determination,n,"di,tə:mi'neiʃn","sự xác định, sự định rõ",6,determination,13
913,determine,v,di'tз:min,"xác định, định rõ",2,determine,9
914,determined,adj,di´tə:mind,"đã được xác định, đã được xác định rõ",3,determine,10
915,develop,v,di'veləp,"phát triển, mở rộng",3,develop,7
916,development,n,di’veləpmənt,"sự phát triển, sự trình bày, sự bày tỏ",4,development,11
917,device,n,di'vais,kế sách,2,device,6
918,devote,v,di'vout,"hiến dâng, dành hết cho",2,devote,6
919,devoted,adj,di´voutid,"hiến cho, dâng cho, dành cho",3,devote,7
920,diagram,n,ˈdaɪəˌgræm,biểu đồ,3,diagram,7
921,diamond,n,´daiəmənd,kim cương,3,diamond,7
922,diary,n,daiəri,sổ nhật ký,3,diary,5
923,dictionary,n,dikʃənəri,từ điển,4,dictionary,10
924,die,v,daɪ,"chết, tư trần, hy sinh",1,die,3
925,diet,n,daiət,"chế độ ăn uống, chế độ ăn kiêng",2,diet,4
926,difference,n,"ˈdɪfərəns , ˈdɪfrəns",sự khác nhau,5,difference,10
927,different,adj,difrзnt,"khác, khác biệt, khác nhau",1,different,9
928,differently,adv,difrзntli,"khác, khác biệt, khác nhau",2,differently,11
929,difficult,adj,difik(ə)lt,"khó, khó khăn, gấy go",3,difficult,9
930,difficulty,n,difikəlti,"sự khó khăn, nỗi khó khăn, điều cản trở",4,difficulty,10
931,dig,v,dɪg,"đào bới, xới",1,dig,3
932,dinner,n,dinə,"bữa trưa, chiều",2,dinner,6
933,direct,adj,di'rekt; dai'rekt,"trực tiếp, thẳng, thẳng thắn",4,direct,6
934,direct,v,di'rekt; dai'rekt,"gửi, viết cho ai, điều khiển",4,direct,6
935,direction,n,di'rek∫n,"sự điều khiển, sự chỉ huy",2,direction,9
936,directly,adv,dai´rektli,"trực tiếp, thẳng",3,directly,8
937,director,n,di'rektə,"giám đốc, người điều khiển, chỉ huy",3,director,8
938,dirt,n,də:t,"đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi",1,dirt,4
939,dirty,adj,´də:ti,"bẩn thỉu, dơ bẩn",2,dirty,5
940,disabled,adj,dis´eibld,"bất lực, không có khả năng",3,disable,8
941,disadvantage,n,dɪsədˈvɑntɪdʒ,"sự bất lợi, sự thiệt hại",4,disadvantage,12
942,disagree,v,¸disə´gri:,"bất đồng, không đồng ý, khác, không giống",3,disagree,8
943,disagreement,n,¸disəg´ri:mənt,"sự bất đồng, sự không đồng ý, sự khác nhau",4,disagreement,12
944,disappear,v,disə'piə,"biến mất, biến đi",4,disappear,9
945,disappoint,v,ˌdɪsəˈpɔɪnt,"không làm thỏa ước nguyện, ý mong đợi",3,disappoint,10
946,disappointed,adj,",disз'pointid",thất vọng,3,disappoint,12
947,disappointing,adj,¸disə´pɔintiη,"làm chán ngán, làm thất vọng",5,disappointing,13
948,disappointment,n,¸disə´pɔintmənt,"sự chán ngán, sự thất vọng",5,disappointment,14
949,disapproval,n,¸disə´pru:vl,"sự phản đổi, sự không tán thành",4,disapproval,11
950,disapprove,"of, v",¸disə´pru:v,"không tán thành, phản đối, chê",3,disapprove,10
951,disapproving,adj,¸disə´pru:viη,phản đối,4,disapprove,12
952,disaster,n,di'zɑ:stə,"tai họa, thảm họa",3,disaster,8
953,disc,n,disk,đĩa,1,disc,4
954,disk,n,disk,đĩa,1,disk,4
955,discipline,n,disiplin,kỷ luật,3,discipline,10
956,discount,n,diskaunt,"sự bớt giá, sự chiết khấu, tiền bớt chiết khấu",2,discount,8
957,discover,v,dis'kʌvə,"khám phá, phát hiện ra, nhận ra",3,discover,8
958,discovery,n,dis'kʌvəri,"sự khám phá, sự tìm ra, sự phát hiện ra",4,discovery,9
959,discuss,v,dis'kΛs,"thảo luận, tranh luận",1,discuss,7
960,discussion,n,dis'kʌʃn,"sự thảo luận, sự tranh luận",3,discussion,10
961,disease,n,di'zi:z,"căn bệnh, bệnh tật",2,disease,7
962,disgust,"v, n",dis´gʌst,"làm ghê tởm, làm kinh tởm, làm phẫn nộ",2,disgust,7
963,disgusted,adj,dis´gʌstid,"chán ghét, phẫn nộ",3,disgust,9
964,disgusting,adj,dis´gʌstiη,"làm ghê tởm, kinh tởm",3,disgust,10
965,dish,n,diʃ,đĩa (đựng thức ăn),1,dish,4
966,dishonest,adj,dis´ɔnist,"bất lương, không thành thật",3,dishonest,9
967,dishonestly,adv,dis'onistli,"bất lương, không lương thiện",3,dishonestly,11
968,disk,n,disk,"đĩa, đĩa hát",1,disk,4
969,dislike,"v, n",dis'laik,"sự không ưa, không thích, sự ghé",2,dislike,7
970,dismiss,v,dis'mis,"giải tán (quân đội, đám đông)",2,dismiss,7
971,display,v,dis'plei,"bày tỏ, phô trương, trưng bày",3,display,7
972,display,n,dis'plei,"sự bày ra, phô bày, trưng bày",3,display,7
973,dissolve,v,dɪˈzɒlv,"tan rã, phân hủy, giải tán",2,dissolve,8
974,distance,n,distəns,"khoảng cách, tầm xa",2,distance,8
975,distinguish,v,dis´tiηgwiʃ,"phân biệt, nhận ra, nghe ra",3,distinguish,11
976,distribute,v,dis'tribju:t,"phân bổ, phân phối, sắp xếp, phâ loại",3,distribute,10
977,distribution,n,",distri'bju:ʃn","sự phân bổ, sự phân phối, phân phát, sự sắp xếp",4,distribution,12
978,district,n,distrikt,"huyện, quận",2,district,8
979,disturb,v,dis´tə:b,"làm mất yên tĩnh, làm náo động, quấy rầy",2,disturb,7
980,disturbing,adj,dis´tə:biη,xáo trộn,3,disturb,10
981,divide,v,di'vaid,"chia, chia ra, phân ra",2,divide,6
982,division,n,dɪ'vɪʒn,"sự chia, sự phân chia, sự phân loại",3,division,8
983,divorce,"n, v",di´vɔ:s,sự ly dị,2,divorce,7
984,divorced,adj,di'vo:sd,đã ly dị,1,divorce,8
985,doctor,n,dɔktə,"bác sĩ y khoa, tiến sĩ",2,doctor,6
986,document,n,dɒkjʊmənt,"văn kiện, tài liệu, tư liệu",3,document,8
987,dog,n,dɔg,chó,1,dog,3
988,dollar,n,´dɔlə,đô la Mỹ,2,dollar,6
989,domestic,adj,də'mestik,"vật nuôi trong nhà, (thuộc) nội trợ, quốc nội",3,domestic,8
990,dominate,v,ˈdɒməˌneɪt,"chiếm ưu thế, có ảnh hưởng, chi phối",3,dominate,8
991,door,n,dɔ:,"cửa, cửa ra vào",1,door,4
992,dot,n,dɔt,"chấm nhỏ, điểm",1,dot,3
993,double,"adj, n, v, adv",dʌbl,"đôi, hai, kép",2,double,6
994,doubt,n,daut,"sự nghi ngờ, sự ngờ vực",1,doubt,5
995,doubt,v,daut,"nghi ngờ, ngờ vực",1,doubt,5
996,down,"adv, prep",daun,xuống,1,down,4
997,downstairs,adv,daun'steзz,"ở dưới nhà, ở tầng dưới",2,downstairs,10
998,downstairs,adj,daun'steзz,xống gác,2,downstairs,10
999,downstairs,n,daun'steзz,tầng dưới,2,downstairs,10
1000,downward,adj,´daun¸wəd,"xuống, đi xuống",2,downward,8
1001,downwards,adv,´daun¸wədz,"xuống, đi xuống",2,downwards,9
1002,dozen,ndet,dʌzn,tá (12),2,dozen,5
1003,draft,"n, adj, v",dra:ft,"bản phác thảo, sơ đồ thiết kế",0,draft,5
1004,drag,v,drӕg,"lôi kéo, kéo lê",0,drag,4
1005,drama,n,drɑː.mə,"kịch, tuồng",2,drama,5
1006,dramatic,adj,drə´mætik,"như kịch, như đóng kịch, thích hợp với sân khấu",3,dramatic,8
1007,dramatically,adv,drə'mætikəli,đột ngột,5,dramatically,12
1008,draw,v,dro:,"vẽ, kéo",0,draw,4
1009,drawer,n,´drɔ:ə,"người vẽ, người kéo",2,drawer,6
1010,drawing,n,dro:iŋ,"bản vẽ, bức vẽ, sự kéo",1,draw,7
1011,dream,"n, v",dri:m,"giấc mơ, mơ",1,dream,5
1012,dress,"n, v",dres,"quần áo, mặc (quần áo), ăn mặc",1,dress,5
1013,dressed,adj,dres,cách ăn mặc,1,dress,7
1014,drink,n,driɳk,đồ uống,1,drink,5
1015,drink,v,driɳk,uống,1,drink,5
1016,drive,v,draiv,"lái , đua xe",1,drive,5
1017,drive,n,draiv,cuộc đua xe (điều khiển),1,drive,5
1018,driver,n,draivə(r),người lái xe,2,driver,6
1019,driving,n,draiviɳ,"sự lái xe, cuộc đua xe",2,drive,7
1020,drop,v,drɒp,"chảy nhỏ giọt, rơi, rớt",1,drop,4
1021,drop,n,drɒp,"giọt nước, giọt máu",1,drop,4
1022,drug,n,drʌg,"thuốc, dược phẩm",1,drug,4
1023,drugstore,n,drʌgstɔ:,"hiệu thuốc, cửa hàng dược phẩm",2,drugstore,9
1024,drum,n,drʌm,"cái trống, tiếng trống",1,drum,4
1025,editor,n,´editə,"người thu thập và xuất bản, chủ bút",3,editor,6
1026,educate,v,edju:keit,"giáo dục, cho ăn học",4,educate,7
1027,educated,adj,edju:keitid,"được giáo dục, được đào tạo",5,educate,8
1028,education,n,",edju:'keiʃn","sự giáo dục, sự rèn luyện (kỹ năng)",5,education,9
1029,effect,n,i'fekt,"hiệu ứng, hiệu quả, kết quả",2,effect,6
1030,effective,adj,ifektiv,"có kết quả, có hiệu lực",3,effective,9
1031,effectively,adv,i'fektivli,"có kết quả, có hiệu lực",4,effectively,11
1032,efficient,adj,i'fiʃənt,"có hiệu lực, có hiệu quả",3,efficient,9
1033,efficiently,adv,i'fiʃəntli,"có hiệu quả, hiệu nghiệm",4,efficiently,11
1034,effort,n,´efə:t,"sự cố gắng, sự nỗ lực",2,effort,6
1035,egg,n,eg,trứng,1,egg,3
1036,elbow,n,elbou,khuỷu tay,2,elbow,5
1037,elderly,adj,´eldəli,"có tuổi, cao tuổi",3,elderly,7
1038,elect,v,i´lekt,"bầu, quyết định",2,elect,5
1039,election,n,i´lekʃən,"sự bầu cử, cuộc tuyển cử",3,election,8
1040,electric,adj,ɪˈlɛktrɪk,"(thuộc) điện, có điện, phát điện",2,electric,8
1041,electrical,adj,i'lektrikəl,(thuộc) điện,4,electrical,10
1042,electricity,n,ilek'trisiti,"điện, điện lực",5,electricity,11
1043,electronic,adj,"ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk",(thuộc) điện tử,6,electronic,10
1044,elegant,adj,´eligənt,"thanh lịch, tao nhã",3,elegant,7
1045,element,n,ˈɛləmənt,"yếu tố, nguyên tố",2,element,7
1046,elevator,n,ˈɛləˌveɪtər,"máy nâng, thang máy",3,elevator,8
1047,else,adv,els,"khác, nữa",1,else,4
1048,elsewhere,adv,¸els´wɛə,ở một nơi nào khác,2,elsewhere,9
1049,email,n,imeil,thư điện tử,3,email,5
1050,email,v,imeil,gửi thư điện tử,3,email,5
1051,embarrass,v,im´bærəs,"lúng túng, làm ngượng nghịu",3,embarrass,9
1052,embarrassed,adj,im´bærəst,"lúng túng, bối rối, ngượng",3,embarrassed,11
1053,embarrassing,adj,im´bærəsiη,"làm lúng túng, ngăn trở",4,embarrass,12
1054,embarrassment,n,im´bærəsmənt,"sự lúng túng, sự bối rối",4,embarrassment,13
1055,emerge,v,i´mə:dʒ,"nổi lên, hiện ra",2,emerge,6
1056,emergency,n,i'mз:dЗensi,tình trạng khẩn cấp,3,emergency,9
1057,emotion,n,i'moƱʃ(ə)n,"xự xúc động, sự cảm động, mối xác cảm",2,emotion,7
1058,emotional,adj,i´mouʃənəl,"cảm động, xúc động, xúc cảm",4,emotional,9
1059,emotionally,adv,i´mouʃənəli,xúc động,5,emotionally,11
1060,emphasis,n,´emfəsis,"sự nhấn mạnh, tầm quan trọng",3,emphasis,8
1061,emphasize,v,ˈɛmfəˌsaɪz,"nhấn mạnh, làm nổi bật",2,emphasize,9
1062,empire,n,empaiə,"đế chế, đế quốc",3,empire,6
1063,employ,v,im'plɔi,"dùng, thuê ai làm gì",3,employ,6
1064,employee,n,¸emplɔi´i:,"người lao động, người làm công",4,employee,8
1065,employer,n,em´plɔiə,"chủ, người sử dụng lao động",4,employer,8
1066,employment,n,im'plɔimənt,sự thuê mướn,4,employment,10
1067,empty,"adj, v",empti,"trống, rỗng",2,empty,5
1068,enable,v,i'neibl,"làm cho có thể, có khả năng",4,enable,6
1069,encounter,v,in'kautə,"chạm chán, bắt gặp",3,encounter,9
1070,encounter,n,in'kautə,"sự chạm trán, sự bắt gặp",3,encounter,9
1071,encourage,v,in'kΔridЗ,"động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn",2,encourage,9
1072,encouragement,n,in´kʌridʒmənt,"niềm cổ vũ, động viên, khuyến khích",4,encouragement,13
1073,end,n,end,"giới hạn, sự kết thúc",1,end,3
1074,end,v,end,"kết thúc, chấm dứt",1,end,3
1075,ending,n,´endiη,"sự kết thúc, sự chấm dứt",2,end,6
1076,enemy,n,enəmi,"kẻ thù, quân địch",3,enemy,5
1077,energy,n,ˈɛnərdʒi,"năng lượng, nghị lực, sinh lực",2,energy,6
1078,engage,v,in'geidʤ,"hứa hẹn, cam kết, đính ước",3,engage,6
1079,engaged,adj,in´geidʒd,"đã đính ước, đã hứa hôn",3,engage,7
1080,engine,n,en'ʤin,"máy, động cơ",2,engine,6
1081,engineer,n,endʒi'niər,kỹ sư,4,engineer,8
1082,engineering,n,",enʤɪ'nɪərɪŋ","nghề kỹ sư, công việc của kỹ sư",4,engineering,11
1083,enjoy,v,in'dЗoi,"thưởng thức, thích thú cái gì, được hưởng, có được",2,enjoy,5
1084,enjoyable,adj,in´dʒɔiəbl,"thú vị, thích thú",5,enjoyable,9
1085,enjoyment,n,in´dʒɔimənt,"sự thích thú, sự có được, được hưởng",4,enjoyment,9
1086,enormous,adj,i'nɔ:məs,"to lớn, khổng lồ",3,enormous,8
1087,enough,"det, pron, adv",i'nʌf,đủ,2,enough,6
1088,enquiry,n,in'kwaiəri,"sự điều tra, sự thẩm vấn",4,enquiry,7
1089,ensure,v,"ɛnˈʃʊər , ɛnˈʃɜr","bảo đảm, chắc chắn",2,ensure,6
1090,enter,v,´entə,"đi vào, gia nhập",2,enter,5
1091,entertain,v,",entə'tein","giải trí, tiếp đón, chiêu đãi",4,entertain,9
1092,entertainer,n,¸entə´teinə,"người quản trò, người tiếp đãi, chiêu đãi",5,entertainer,11
1093,entertaining,adj,",entə'teiniɳ",giải trí,5,entertain,12
1094,entertainment,n,entə'teinm(ə)nt,"sự giải trí, sự tiếp đãi, chiêu đãi",5,entertainment,13
1095,enthusiasm,n,ɛnˈθuziˌæzəm,"sự hăng hái, sự nhiệt tình",4,enthusiasm,10
1096,enthusiastic,adj,ɛnˌθuziˈæstɪk,"hăng hái, say mê, nhiệt tình",4,enthusiastic,12
1097,entire,adj,in'taiə,"toàn thể, toàn bộ",3,entire,6
1098,entirely,adv,in´taiəli,"toàn vẹn, trọn vẹn, toàn bộ",4,entirely,8
1099,entitle,v,in'taitl,"cho tiêu đề, cho tên (sách)",3,entitle,7
1100,entrance,n,entrəns,"sự đi vào, sự nhậm chức",2,entrance,8
1101,entry,n,ˈɛntri,"sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)",1,entry,5
1102,envelope,n,enviloup,phong bì,3,envelope,8
1103,environment,n,in'vaiərənmənt,"môi trường, hoàn cảnh xung quanh",5,environment,11
1104,environmental,adj,"in,vairən'mentl",thuộc về môi trường,5,environmental,13
1105,equal,adj,´i:kwəl,"ngang, bằng",2,equal,5
1106,equal,n,´i:kwəl,"người ngang hàng, ngang tài, sức",2,equal,5
1107,equal,v,´i:kwəl,"bằng, ngang",2,equal,5
1108,equally,adv,i:kwзli,"bằng nhau, ngang bằng",2,equally,7
1109,equipment,n,i'kwipmənt,"trang, thiết bị",3,equipment,9
1110,equivalent,adj,i´kwivələnt,tương đương,4,equivalent,10
1111,equivalent,n,i´kwivələnt,"tư, vật tương đương",4,equivalent,10
1112,error,n,erə,"lỗi, sự sai sót, sai lầm",2,error,5
1113,escape,v,is'keip,"trốn thoát, thoát khỏi",3,escape,6
1114,escape,n,is'keip,"sự trốn thoát, lỗi thoát",3,escape,6
1115,especially,adv,is'peʃəli,"đặc biệt là, nhất là",4,especially,10
1116,essay,n,ˈɛseɪ,bài tiểu luận,1,essay,5
1117,essential,adj,əˈsɛnʃəl,"bản chất, thực chất, cốt yếu",2,essential,9
1118,essential,n,əˈsɛnʃəl,yếu tố cần thiết,2,essential,9
1119,essentially,adv,e¸senʃi´əli,"về bản chất, về cơ bản",5,essentially,11
1120,establish,v,ɪˈstæblɪʃ,"lập, thành lập",3,establish,9
1121,estate,n,ɪˈsteɪt,"tài sản, di sản, bất động sản",2,estate,6
1122,estimate,n,estimit - 'estimeit,"sự ước lượng, đánh giá",7,estimate,8
1123,estimate,v,estimit - 'estimeit,"ước lượng, đánh giá",7,estimate,8
1124,etc,adv,et setərə,vân vân,4,etc,3
1125,euro,n,´ju:rou,đơn vị tiền tệ của liên minh châu Âu,2,euro,4
1126,even,adv,i:vn,"ngay cả, ngay, lại còn",2,even,4
1127,even,adj,i:vn,"bằng phẳng, điềm đạm, ngang bằng",2,even,4
1128,evening,n,i:vniɳ,"buổi chiều, tối",2,evening,7
1129,event,n,i'vent,"sự việc, sự kiện",2,event,5
1130,eventually,adv,i´ventjuəli,cuối cùng,5,eventually,10
1131,ever,adv,evə(r),"từng, từ trước tới giờ",2,ever,4
1132,everybody,pron,´evri¸wʌn,mọi người,3,everybody,9
1133,everywhere,adv,´evri¸weə,mọi nơi,3,everywhere,10
1134,evidence,n,evidəns,"điều hiển nhiên, điều rõ ràng",3,evidence,8
1135,evil,adj,i:vl,"xấu, ác",2,evil,4
1136,evil,n,i:vl,"điều xấu, điều ác, điều tai hại",2,evil,4
1137,exact,adj,ig´zækt,"chính xác, đúng",2,exact,5
1138,exactly,adv,ig´zæktli,"chính xác, đúng đắn",3,exactly,7
1139,exaggerate,v,ig´zædʒə¸reit,"cường điệu, phóng đại",5,exaggerate,10
1140,exaggerated,adj,ig'zædЗзreit,"cường điệu, phòng đại",4,exaggerated,11
1141,exam,n,ig´zæm,viết tắt của Examination (xem nghĩa phía dưới),2,exam,4
1142,examination,n,ig¸zæmi´neiʃən,"sự thi cử, kỳ thi",6,examination,11
1143,examine,v,ɪgˈzæmɪn,"thẩm tra, khám xét, hỏi han (thí sinh)",3,examine,7
1144,example,n,ig´za:mp(ə)l,"thí dụ, ví dụ",2,example,7
1145,excellent,adj,ˈeksələnt,"xuất sắc, xuất chúng",3,excellent,9
1146,except,prep,ik'sept,"trừ ra, không kể",2,except,6
1147,except,conj,ik'sept,trừ phi,2,except,6
1148,exception,n,ik'sepʃn,"sự trừ ra, sự loại ra",3,exception,9
1149,exchange,v,iks´tʃeindʒ,trao đổi,3,exchange,8
1150,exchange,n,iks´tʃeindʒ,sự trao đổi,3,exchange,8
1151,excite,v,ik'sait,"kích thích, kích động",2,excite,6
1152,excited,adj,ɪkˈsaɪtɪd,"bị kích thích, bị kích động",3,excite,7
1153,excitement,n,ik´saitmənt,"sự kích thích, sự kích động",3,excitement,10
1154,exciting,adj,ik´saitiη,"hứng thú, thú vị",3,exciting,8
1155,exclude,v,iks´klu:d,"ngăn chặn, loại trừ",2,exclude,7
1156,excluding,prep,iks´klu:diη,"ngoài ra, trư ra",3,exclude,9
1157,excuse,n,iks´kju:z,"lời xin lỗi, bào chữa",2,excuse,6
1158,excuse,v,iks´kju:z,"xin lỗi, tha thứ, tha lỗi",2,excuse,6
1159,executive,n,ɪgˈzɛkyətɪv,"sự thi hành, chấp hành",3,executive,9
1160,executive,adj,ɪgˈzɛkyətɪv,"(thuộc) s thi hành, chấp hành",3,executive,9
1161,exercise,n,eksəsaiz,"bài tập, sự thi hành, sự thực hiện",3,exercise,8
1162,exercise,v,eksəsaiz,"làm, thi hành, thực hiện",3,exercise,8
1163,exhibit,v,ɪgˈzɪbɪt,"trưng bày, triển lãm",3,exhibit,7
1164,exhibit,n,ɪgˈzɪbɪt,vật trưng bày vật triển lãm,3,exhibit,7
1165,exhibition,n,ˌɛksəˈbɪʃən,"cuộc triển lãm, trưng bày",3,exhibition,10
1166,exist,v,ig'zist,"tồn tại, sống",2,exist,5
1167,existence,n,ig'zistəns,"sự tồn tại, sự sống",3,existence,9
1168,exit,n,´egzit,"lỗi ra, sự đi ra, thoát ra",2,exit,4
1169,expand,v,iks'pænd,"mở rộng, phát triển, nở, giãn ra",2,expand,6
1170,expect,v,ik'spekt,"chờ đợi, mong ngóng",2,expect,6
1171,expectation,n,",ekspek'tei∫n","sự mong chờ, sự chờ đợi",4,expectation,11
1172,expected,adj,iks´pektid,"được chờ đợi, được hy vọng",3,expect,8
1173,expense,n,ɪkˈspɛns,chi phí,1,expense,7
1174,expensive,adj,iks'pensiv,đắt,3,expensive,9
1175,experience,n,iks'piəriəns,kinh nghiệm,5,experience,10
1176,experience,v,iks'piəriəns,"trải qua, nếm mùi",5,experience,10
1177,experienced,adj,eks´piəriənst,"có kinh nghiệm, tưng trải, giàu kinh nghiệm",5,experience,11
1178,experiment,n,(n)ɪkˈspɛrəmənt,cuộc thí nghiệm,3,experiment,10
1179,experiment,v,(n)ɪkˈspɛrəmənt,thí nghiệm,3,experiment,10
1180,expert,n,",ekspз'ti:z",chuyên gia,2,expert,6
1181,expert,adj,",ekspз'ti:z","chuyên môn, thành thạo",2,expert,6
1182,explain,v,iks'plein,"giải nghĩa, giải thích",3,explain,7
1183,explanation,n,",eksplə'neiʃn","sự giải nghĩa, giải thích",5,explanation,11
1184,explode,v,iks'ploud,"đập tan hy vọng, làm nổ, nổ",2,explode,7
1185,explore,v,iks´plɔ:,"thăm dò, thám hiểm",2,explore,7
1186,explosion,n,iks'plouʤn,"sự nổ, sự phát triển ồ ạt",2,explosion,9
1187,export,v,iks´pɔ:t,xuất khẩu,2,export,6
1188,export,n,iks´pɔ:t,"hàng xuất khẩu, sự xuất khẩu",2,export,6
1189,expose,v,ɪkˈspoʊz,"trưng bày, phơi bày",2,expose,6
1190,express,v,iks'pres,"diễn tả, biểu lộ, bày tỏ",2,express,7
1191,express,adj,iks'pres,"nhanh, tốc hành",2,express,7
1192,expression,n,iks'preʃn,"sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt",3,expression,10
1193,extend,v,iks'tend,"giơ, duỗi ra, kéo dài, dành cho, gửi lời",2,extend,6
1194,extension,n,ɪkstent ʃən,"sự giơ, duỗi",3,extension,9
1195,extensive,adj,iks´tensiv,"rộng rãi, bao quát",3,extensive,9
1196,extent,nv,ɪkˈstɛnt,"quy mô, phạm vi",1,extent,6
1197,extra,"adj, n, adv",ekstrə,"thêm, phụ, ngoại",2,extra,5
1198,extraordinary,adj,iks'trɔ:dnri,"đặc biệt, lạ thường, khác thường",3,extraordinary,13
1199,extreme,adj,iks'tri:m,"vô cùng, khắc nghiệt, quá khích, cực đoan",2,extreme,7
1200,extreme,n,iks'tri:m,sự quá khích,2,extreme,7
1201,extremely,adv,iks´tri:mli,"vô cùng, cực độ",3,extremely,9
1202,eye,n,ai,mắt,1,eye,3
1203,face,n,feis,"mặt, thể diện",2,face,4
1204,face,v,feis,"đương đầu, đối phó đối mặt",2,face,4
1205,facility,n,fəˈsɪlɪti,"điều kiện dễ dàng, sự dễ dàng, thuận lợi",4,facility,8
1206,fact,n,fækt,"việc, sự việc, sự kiện",1,fact,4
1207,factor,n,fæktə,nhân tố,2,factor,6
1208,factory,n,fæktəri,"nhà máy, xí nghiệp, xưởng",3,factory,7
1209,fail,v,feil,"sai, thất bại",2,fail,4
1210,failure,n,ˈfeɪlyər,"sự thất bại, người thất bại",2,failure,7
1211,faint,adj,feɪnt,"nhút nhát, yếu ớt",1,faint,5
1212,faintly,adv,feintli,"nhút nhát, yếu ớt",3,faintly,7
1213,fair,adj,feə,"hợp lý, công bằng",1,fair,4
1214,fairly,adv,feəli,"hợp lý, công bằng",2,fairly,6
1215,faith,n,feiθ,"sự tin tưởng, tin cậy",2,faith,5
1216,faithful,adj,feiθful,"trung thành, chung thủy, trung thực",3,faithful,8
1217,faithfully,adv,feiθfuli,"trung thành, chung thủy, trung thực",4,faithfully,10
1218,fall,"v, n",fɔl,"rơi, ngã, sự rơi, ngã",1,fall,4
1219,False,adj,fo:ls,"sai, nhầm, giả dối",0,false,5
1220,fame,n,feim,"tên tuổi, danh tiếng",2,fame,4
1221,familiar,adj,fəˈmiliər,"thân thiết, quen thộc",4,familiar,8
1222,family,"n, adj",ˈfæmili,"gia đình, thuộc gia đình",3,family,6
1223,famous,adj,feiməs,nổi tiếng,3,famous,6
1224,fan,n,fæn,người hâm mộ,1,fan,3
1225,fancy,v,ˈfænsi,"tưởng tượng, cho, nghĩ rằng",2,fancy,5
1226,fancy,adj,ˈfænsi,tưởng tượng,2,fancy,5
1227,far,"adv, adj",fɑ:,xa,1,far,3
1228,farm,n,fa:m,trang trại,0,farm,4
1229,farmer,n,fɑ:mə(r),"nông dân, người chủ trại",2,farmer,6
1230,farming,n,fɑ:miɳ,"công việc trồng trọt, đồng áng",2,farm,7
1231,fashion,n,fæ∫ən,"mốt, thời trang",2,fashion,7
1232,fashionable,adj,fæʃnəbl,"đúng mốt, hợp thời trang",3,fashionable,11
1233,fast,"adj, adv",fa:st,nhanh,0,fast,4
1234,fasten,v,fɑ:sn,"buộc, trói",2,fasten,6
1235,fat,adj,fæt,"béo, béo bở",1,fat,3
1236,fat,n,fæt,"mỡ, chất béo",1,fat,3
1237,father,n,fɑ:ðə,cha (bố),2,father,6
1238,faucet,n,ˈfɔsɪt,vòi (ở thùng rượu ),2,faucet,6
1239,fault,n,fɔ:lt,"sự thiết sót, sai sót",1,fault,5
1240,favour,n,feivз,),2,favour,6
1241,favourite,adj,feivзrit,được ưa thích,3,favourite,9
1242,favourite,n,feivзrit,người (vật) được ưa thích,3,favourite,9
1243,fear,n,fɪər,"sự sợ hãi, e sợ",1,fear,4
1244,fear,v,fɪər,"sợ, lo ngại",1,fear,4
1245,feather,n,feðə,lông chim,2,feather,7
1246,feature,n,fi:tʃə,"nét đặt biệt, điểm đặc trưng",2,feature,7
1247,feature,v,fi:tʃə,"mô tả nét đặc biệt, đặc trưng của…",2,feature,7
1248,February,n,´februəri,tháng 2,4,February,8
1249,federal,adj,fedərəl,liên bang,3,federal,7
