Word,POS,Pronunciation,Meaning
deserted,adj,di'zз:tid,"hoang vắng, không người ở"
deserve,v,di'zз:v,"đáng, xứng đáng"
design,n,di´zain,"sự thiết kế, kế hoạch, đề cương. phác thảo"
design,v,di´zain,"phác họa, thiết kế"
desire,n,di'zaiə,ước muốn
desire,v,di'zaiə,"thèm muốn, ao ước"
desk,n,desk,"bàn (học sinh, viết, làm việc)"
desperate,adj,despərit,"liều mạng, liều lĩnh; tuyệt vọng"
desperately,adv,despəritli,"liều lĩnh, liều mạng"
despite,prep,dis'pait,"dù, mặc dù, bất chấp"
destroy,v,dis'trɔi,"phá, phá hoại, phá huỷ, tiêu diệt, triệt phá"
destruction,n,dis'trʌk∫n,"sự phá hoại, sự phá hủy, sự tiêu diệt"
detail,n,(n) ˈditeɪl ; (v) dɪˈteɪl,"chi tiết. in detail: tường tận, tỉ mỉ"
detailed,adj,di:teild,"cặn kẽ, tỉ mỉ, nhiều chi tiết"
determination,n,"di,tə:mi'neiʃn","sự xác định, sự định rõ; sự quyết định"
determine,v,di'tз:min,"xác định, định rõ; quyết định"
determined,adj,di´tə:mind,"đã được xác định, đã được xác định rõ"
develop,v,di'veləp,"phát triển, mở rộng; trình bày, bày tỏ"
development,n,di’veləpmənt,"sự phát triển, sự trình bày, sự bày tỏ"
device,n,di'vais,"kế sách; thiết bị, dụng cụ, máy móc"
devote,v,di'vout,"hiến dâng, dành hết cho"
devoted,adj,di´voutid,"hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình"
diagram,n,ˈdaɪəˌgræm,biểu đồ
diamond,n,´daiəmənd,kim cương
diary,n,daiəri,sổ nhật ký; lịch ghi nhớ
dictionary,n,dikʃənəri,từ điển
die,v,daɪ,"chết, tư trần, hy sinh"
diet,n,daiət,"chế độ ăn uống, chế độ ăn kiêng"
difference,n,"ˈdɪfərəns , ˈdɪfrəns",sự khác nhau
different,adj,difrзnt,"khác, khác biệt, khác nhau"
differently,adv,difrзntli,"khác, khác biệt, khác nhau"
difficult,adj,difik(ə)lt,"khó, khó khăn, gấy go"
difficulty,n,difikəlti,"sự khó khăn, nỗi khó khăn, điều cản trở"
dig,v,dɪg,"đào bới, xới"
dinner,n,dinə,"bữa trưa, chiều"
direct,adj,di'rekt; dai'rekt,"trực tiếp, thẳng, thẳng thắn"
direct,v,di'rekt; dai'rekt,"gửi, viết cho ai, điều khiển"
direction,n,di'rek∫n,"sự điều khiển, sự chỉ huy"
directly,adv,dai´rektli,"trực tiếp, thẳng"
director,n,di'rektə,"giám đốc, người điều khiển, chỉ huy"
dirt,n,də:t,"đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi"
dirty,adj,´də:ti,"bẩn thỉu, dơ bẩn"
disabled,adj,dis´eibld,"bất lực, không có khả năng"
disadvantage,n,dɪsədˈvɑntɪdʒ,"sự bất lợi, sự thiệt hại"
disagree,v,¸disə´gri:,"bất đồng, không đồng ý, khác, không giống; không hợp"
disagreement,n,¸disəg´ri:mənt,"sự bất đồng, sự không đồng ý, sự khác nhau"
disappear,v,disə'piə,"biến mất, biến đi"
disappoint,v,ˌdɪsəˈpɔɪnt,"không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại"
disappointed,adj,",disз'pointid",thất vọng
disappointing,adj,¸disə´pɔintiη,"làm chán ngán, làm thất vọng"
disappointment,n,¸disə´pɔintmənt,"sự chán ngán, sự thất vọng"
disapproval,n,¸disə´pru:vl,"sự phản đổi, sự không tán thành"
disapprove,"of, v",¸disə´pru:v,"không tán thành, phản đối, chê"
disapproving,adj,¸disə´pru:viη,phản đối
disaster,n,di'zɑ:stə,"tai họa, thảm họa"
disc,n,disk,đĩa
disk,n,disk,đĩa
discipline,n,disiplin,kỷ luật
discount,n,diskaunt,"sự bớt giá, sự chiết khấu, tiền bớt chiết khấu"
discover,v,dis'kʌvə,"khám phá, phát hiện ra, nhận ra"
discovery,n,dis'kʌvəri,"sự khám phá, sự tìm ra, sự phát hiện ra"
discuss,v,dis'kΛs,"thảo luận, tranh luận"
discussion,n,dis'kʌʃn,"sự thảo luận, sự tranh luận"
disease,n,di'zi:z,"căn bệnh, bệnh tật"
disgust,"v, n",dis´gʌst,"làm ghê tởm, làm kinh tởm, làm phẫn nộ"
disgusted,adj,dis´gʌstid,"chán ghét, phẫn nộ"
disgusting,adj,dis´gʌstiη,"làm ghê tởm, kinh tởm"
dish,n,diʃ,đĩa (đựng thức ăn)
dishonest,adj,dis´ɔnist,"bất lương, không thành thật"
dishonestly,adv,dis'onistli,"bất lương, không lương thiện"
disk,n,disk,"đĩa, đĩa hát"
dislike,"v, n",dis'laik,"sự không ưa, không thích, sự ghé"
dismiss,v,dis'mis,"giải tán (quân đội, đám đông); sa thải (người làm)"
display,v,dis'plei,"bày tỏ, phô trương, trưng bày"
display,n,dis'plei,"sự bày ra, phô bày, trưng bày"
dissolve,v,dɪˈzɒlv,"tan rã, phân hủy, giải tán"
distance,n,distəns,"khoảng cách, tầm xa"
distinguish,v,dis´tiηgwiʃ,"phân biệt, nhận ra, nghe ra"
distribute,v,dis'tribju:t,"phân bổ, phân phối, sắp xếp, phâ loại"
distribution,n,",distri'bju:ʃn","sự phân bổ, sự phân phối, phân phát, sự sắp xếp"
district,n,distrikt,"huyện, quận"
disturb,v,dis´tə:b,"làm mất yên tĩnh, làm náo động, quấy rầy"
disturbing,adj,dis´tə:biη,xáo trộn
divide,v,di'vaid,"chia, chia ra, phân ra"
division,n,dɪ'vɪʒn,"sự chia, sự phân chia, sự phân loại"
divorce,"n, v",di´vɔ:s,sự ly dị
divorced,adj,di'vo:sd,đã ly dị
do,"vauxiliary, v","du:, du",làm
doctor (abbr Dr),n,dɔktə,"bác sĩ y khoa, tiến sĩ"
document,n,dɒkjʊmənt,"văn kiện, tài liệu, tư liệu"
dog,n,dɔg,chó
dollar,n,´dɔlə,đô la Mỹ
domestic,adj,də'mestik,"vật nuôi trong nhà, (thuộc) nội trợ, quốc nội"
dominate,v,ˈdɒməˌneɪt,"chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế"
door,n,dɔ:,"cửa, cửa ra vào"
dot,n,dɔt,"chấm nhỏ, điểm; của hồi môn"
double,"adj, n, v, adv",dʌbl,"đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi"
doubt,n,daut,"sự nghi ngờ, sự ngờ vực"
doubt,v,daut,"nghi ngờ, ngờ vực"
down,"adv, prep",daun,xuống
downstairs,adv,daun'steзz,"ở dưới nhà, ở tầng dưới"
downstairs,adj,daun'steзz,xống gác
downstairs,n,daun'steзz,tầng dưới
downward,adj,´daun¸wəd,"xuống, đi xuống"
downwards,adv,´daun¸wədz,"xuống, đi xuống"
dozen,ndet,dʌzn,tá (12)
draft,"n, adj, v",dra:ft,"bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế"
drag,v,drӕg,"lôi kéo, kéo lê"
drama,n,drɑː.mə,"kịch, tuồng"
dramatic,adj,drə´mætik,"như kịch, như đóng kịch, thích hợp với sân khấu"
dramatically,adv,drə'mætikəli,đột ngột
draw,v,dro:,"vẽ, kéo"
drawer,n,´drɔ:ə,"người vẽ, người kéo"
drawing,n,dro:iŋ,"bản vẽ, bức vẽ, sự kéo"
dream,"n, v",dri:m,"giấc mơ, mơ"
dress,"n, v",dres,"quần áo, mặc (quần áo), ăn mặc"
dressed,adj,dres,cách ăn mặc
drink,n,driɳk,đồ uống
drink,v,driɳk,uống
drive,v,draiv,"lái , đua xe"
drive,n,draiv,cuộc đua xe (điều khiển)
driver,n,draivə(r),người lái xe
driving,n,draiviɳ,"sự lái xe, cuộc đua xe"
drop,v,drɒp,"chảy nhỏ giọt, rơi, rớt"
drop,n,drɒp,"giọt (nước, máu...)"
drug,n,drʌg,"thuốc, dược phẩm; ma túy"
drugstore,n,drʌgstɔ:,"hiệu thuốc, cửa hàng dược phẩm"
drum,n,drʌm,"cái trống, tiếng trống"
editor,n,´editə,"người thu thập và xuất bản, chủ bút"
educate,v,edju:keit,"giáo dục, cho ăn học; rèn luyện"
educated,adj,edju:keitid,"được giáo dục, được đào tạo"
education,n,",edju:'keiʃn","sự giáo dục, sự rèn luyện (kỹ năng)"
effect,n,i'fekt,"hiệu ứng, hiệu quả, kết quả"
effective,adj,ifektiv,"có kết quả, có hiệu lực"
effectively,adv,i'fektivli,"có kết quả, có hiệu lực"
efficient,adj,i'fiʃənt,"có hiệu lực, có hiệu quả"
efficiently,adv,i'fiʃəntli,"có hiệu quả, hiệu nghiệm"
effort,n,´efə:t,"sự cố gắng, sự nỗ lực"
egg,n,eg,trứng
either,"det, pron, adv",´aiðə,"mỗi, một; cũng phải thế"
elbow,n,elbou,khuỷu tay
elderly,adj,´eldəli,"có tuổi, cao tuổi"
elect,v,i´lekt,"bầu, quyết định"
election,n,i´lekʃən,"sự bầu cử, cuộc tuyển cử"
electric,adj,ɪˈlɛktrɪk,"(thuộc) điện, có điện, phát điện"
electrical,adj,i'lektrikəl,(thuộc) điện
electricity,n,ilek'trisiti,"điện, điện lực; điện lực học"
electronic,adj,"ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk",(thuộc) điện tử
elegant,adj,´eligənt,"thanh lịch, tao nhã"
element,n,ˈɛləmənt,"yếu tố, nguyên tố"
elevator,n,ˈɛləˌveɪtər,"máy nâng, thang máy"
else,adv,els,"khác, nữa; nếu không"
elsewhere,adv,¸els´wɛə,ở một nơi nào khác
email,n,imeil,thư điện tử
email,v,imeil,gửi thư điện tử
e-mail,n,imeil,thư điện tử
e-mail,v,imeil,gửi thư điện tử
embarrass,v,im´bærəs,"lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn"
embarrassed,adj,im´bærəst,"lúng túng, bối rối, ngượng; mang nợ"
embarrassing,adj,im´bærəsiη,"làm lúng túng, ngăn trở"
embarrassment,n,im´bærəsmənt,"sự lúng túng, sự bối rối"
emerge,v,i´mə:dʒ,"nổi lên, hiện ra; nổi bật lên"
emergency,n,i'mз:dЗensi,tình trạng khẩn cấp
emotion,n,i'moƱʃ(ə)n,"xự xúc động, sự cảm động, mối xác cảm"
emotional,adj,i´mouʃənəl,"cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm"
emotionally,adv,i´mouʃənəli,xúc động
emphasis,n,´emfəsis,"sự nhấn mạnh, tầm quan trọng"
emphasize,v,ˈɛmfəˌsaɪz,"nhấn mạnh, làm nổi bật"
empire,n,empaiə,"đế chế, đế quốc"
employ,v,im'plɔi,"dùng, thuê ai làm gì"
employee,n,¸emplɔi´i:,"người lao động, người làm công"
employer,n,em´plɔiə,"chủ, người sử dụng lao động"
employment,n,im'plɔimənt,sự thuê mướn
empty,"adj, v",empti,"trống, rỗng; đổ, dốc; uống, làm cạn"
enable,v,i'neibl,"làm cho có thể, có khả năng; cho phép ai làm gì"
encounter,v,in'kautə,"chạm chán, bắt gặp"
encounter,n,in'kautə,"sự chạm trán, sự bắt gặp"
encourage,v,in'kΔridЗ,"động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn"
encouragement,n,in´kʌridʒmənt,"niềm cổ vũ, động viên, khuyến khích"
end,n,end,"giới hạn, sự kết thúc"
end,v,end,"kết thúc, chấm dứt. in the end cuối cùng, v sau"
ending,n,´endiη,"sự kết thúc, sự chấm dứt; phần cuối, kết cục"
enemy,n,enəmi,"kẻ thù, quân địch"
energy,n,ˈɛnərdʒi,"năng lượng, nghị lực, sinh lực"
engage,v,in'geidʤ,"hứa hẹn, cam kết, đính ước"
engaged,adj,in´geidʒd,"đã đính ước, đã hứa hôn; đã có người"
engine,n,en'ʤin,"máy, động cơ"
engineer,n,endʒi'niər,kỹ sư
engineering,n,",enʤɪ'nɪərɪŋ","nghề kỹ sư, công việc của kỹ sư"
enjoy,v,in'dЗoi,"thưởng thức, thích thú cái gì, được hưởng, có được"
enjoyable,adj,in´dʒɔiəbl,"thú vị, thích thú"
enjoyment,n,in´dʒɔimənt,"sự thích thú, sự có được, được hưởng"
enormous,adj,i'nɔ:məs,"to lớn, khổng lồ"
enough,"det, pron, adv",i'nʌf,đủ
enquiry,n,in'kwaiəri,"sự điều tra, sự thẩm vấn"
ensure,v,"ɛnˈʃʊər , ɛnˈʃɜr","bảo đảm, chắc chắn"
enter,v,´entə,"đi vào, gia nhập"
entertain,v,",entə'tein","giải trí, tiếp đón, chiêu đãi"
entertainer,n,¸entə´teinə,"người quản trò, người tiếp đãi, chiêu đãi"
entertaining,adj,",entə'teiniɳ",giải trí
entertainment,n,entə'teinm(ə)nt,"sự giải trí, sự tiếp đãi, chiêu đãi"
enthusiasm,n,ɛnˈθuziˌæzəm,"sự hăng hái, sự nhiệt tình"
enthusiastic,adj,ɛnˌθuziˈæstɪk,"hăng hái, say mê, nhiệt tình"
entire,adj,in'taiə,"toàn thể, toàn bộ"
entirely,adv,in´taiəli,"toàn vẹn, trọn vẹn, toàn bộ"
entitle,v,in'taitl,"cho tiêu đề, cho tên (sách); cho quyền làm gì"
entrance,n,entrəns,"sự đi vào, sự nhậm chức"
entry,n,ˈɛntri,"sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)"
envelope,n,enviloup,phong bì
environment,n,in'vaiərənmənt,"môi trường, hoàn cảnh xung quanh"
environmental,adj,"in,vairən'mentl",thuộc về môi trường
equal,adj,´i:kwəl,"ngang, bằng"
equal,n,´i:kwəl,"người ngang hàng, ngang tài, sức"
equal,v,´i:kwəl,"bằng, ngang"
equally,adv,i:kwзli,"bằng nhau, ngang bằng"
equipment,n,i'kwipmənt,"trang, thiết bị"
equivalent,adj,i´kwivələnt,tương đương
equivalent,n,i´kwivələnt,"tư, vật tương đương"
error,n,erə,"lỗi, sự sai sót, sai lầm"
escape,v,is'keip,"trốn thoát, thoát khỏi"
escape,n,is'keip,"sự trốn thoát, lỗi thoát"
especially,adv,is'peʃəli,"đặc biệt là, nhất là"
essay,n,ˈɛseɪ,bài tiểu luận
essential,adj,əˈsɛnʃəl,"bản chất, thực chất, cốt yếu"
essential,n,əˈsɛnʃəl,yếu tố cần thiết
essentially,adv,e¸senʃi´əli,"về bản chất, về cơ bản"
establish,v,ɪˈstæblɪʃ,"lập, thành lập"
estate,n,ɪˈsteɪt,"tài sản, di sản, bất động sản"
estimate,n,estimit - 'estimeit,"sự ước lượng, đánh giá"
estimate,v,estimit - 'estimeit,"ước lượng, đánh giá"
etc.,adv,et setərə,vân vân
et cetera,adv,et setərə,vân vân
euro,n,´ju:rou,đơn vị tiền tệ của liên minh châu Âu
even,adv,i:vn,"ngay cả, ngay, lại còn"
even,adj,i:vn,"bằng phẳng, điềm đạm, ngang bằng"
evening,n,i:vniɳ,"buổi chiều, tối"
event,n,i'vent,"sự việc, sự kiện"
eventually,adv,i´ventjuəli,cuối cùng
ever,adv,evə(r),"từng, từ trước tới giờ"
every,det,evəri,"mỗi, mọi"
everyone,pron,´evri¸wʌn,mọi người
everybody,pron,´evri¸wʌn,mọi người
everything,pron,evriθiɳ,"mọi vật, mọi thứ"
everywhere,adv,´evri¸weə,mọi nơi
evidence,n,evidəns,"điều hiển nhiên, điều rõ ràng"
evil,adj,i:vl,"xấu, ác"
evil,n,i:vl,"điều xấu, điều ác, điều tai hại"
ex-,prefix,eks,cựu; trước đây
exact,adj,ig´zækt,"chính xác, đúng"
exactly,adv,ig´zæktli,"chính xác, đúng đắn"
exaggerate,v,ig´zædʒə¸reit,"cường điệu, phóng đại"
exaggerated,adj,ig'zædЗзreit,"cường điệu, phòng đại"
exam,n,ig´zæm,viết tắt của Examination (xem nghĩa phía dưới)
examination,n,ig¸zæmi´neiʃən,"sự thi cử, kỳ thi"
examine,v,ɪgˈzæmɪn,"thẩm tra, khám xét, hỏi han (thí sinh)"
example,n,ig´za:mp(ə)l,"thí dụ, ví dụ"
excellent,adj,ˈeksələnt,"xuất sắc, xuất chúng"
except,prep,ik'sept,"trừ ra, không kể"
except,conj,ik'sept,trừ phi
exception,n,ik'sepʃn,"sự trừ ra, sự loại ra"
exchange,v,iks´tʃeindʒ,trao đổi
exchange,n,iks´tʃeindʒ,sự trao đổi
excite,v,ik'sait,"kích thích, kích động"
excited,adj,ɪkˈsaɪtɪd,"bị kích thích, bị kích động"
excitement,n,ik´saitmənt,"sự kích thích, sự kích động"
exciting,adj,ik´saitiη,"hứng thú, thú vị"
exclude,v,iks´klu:d,"ngăn chặn, loại trừ"
excluding,prep,iks´klu:diη,"ngoài ra, trư ra"
excuse,n,iks´kju:z,"lời xin lỗi, bào chữa"
excuse,v,iks´kju:z,"xin lỗi, tha thứ, tha lỗi"
executive,n,ɪgˈzɛkyətɪv,"sự thi hành, chấp hành"
executive,adj,ɪgˈzɛkyətɪv,"(thuộc) s thi hành, chấp hành"
exercise,n,eksəsaiz,"bài tập, sự thi hành, sự thực hiện"
exercise,v,eksəsaiz,"làm, thi hành, thực hiện"
exhibit,v,ɪgˈzɪbɪt,"trưng bày, triển lãm"
exhibit,n,ɪgˈzɪbɪt,vật trưng bày vật triển lãm
exhibition,n,ˌɛksəˈbɪʃən,"cuộc triển lãm, trưng bày"
exist,v,ig'zist,"tồn tại, sống"
existence,n,ig'zistəns,"sự tồn tại, sự sống"
exit,n,´egzit,"lỗi ra, sự đi ra, thoát ra"
expand,v,iks'pænd,"mở rộng, phát triển, nở, giãn ra"
expect,v,ik'spekt,"chờ đợi, mong ngóng; liệu trước"
expectation,n,",ekspek'tei∫n","sự mong chờ, sự chờ đợi"
expected,adj,iks´pektid,"được chờ đợi, được hy vọng"
expense,n,ɪkˈspɛns,chi phí
expensive,adj,iks'pensiv,đắt
experience,n,iks'piəriəns,kinh nghiệm
experience,v,iks'piəriəns,"trải qua, nếm mùi"
experienced,adj,eks´piəriənst,"có kinh nghiệm, tưng trải, giàu kinh nghiệm"
experiment,n,(n)ɪkˈspɛrəmənt,cuộc thí nghiệm
experiment,v,(n)ɪkˈspɛrəmənt,thí nghiệm
expert,n,",ekspз'ti:z",chuyên gia
expert,adj,",ekspз'ti:z","chuyên môn, thành thạo"
explain,v,iks'plein,"giải nghĩa, giải thích"
explanation,n,",eksplə'neiʃn","sự giải nghĩa, giải thích"
explode,v,iks'ploud,"đập tan (hy vọng...), làm nổ, nổ"
explore,v,iks´plɔ:,"thăm dò, thám hiểm"
explosion,n,iks'plouʤn,"sự nổ, sự phát triển ồ ạt"
export,v,iks´pɔ:t,xuất khẩu
export,n,iks´pɔ:t,"hàng xuất khẩu, sự xuất khẩu"
expose,v,ɪkˈspoʊz,"trưng bày, phơi bày"
express,v,iks'pres,"diễn tả, biểu lộ, bày tỏ"
express,adj,iks'pres,"nhanh, tốc hành"
expression,n,iks'preʃn,"sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt"
extend,v,iks'tend,"giơ, duỗi ra (tay, châ(n).); kéo dài (thời gia(n).), dành cho, gửi lời"
extension,n,ɪkstent ʃən,"sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời"
extensive,adj,iks´tensiv,"rộng rãi, bao quát"
extent,nv,ɪkˈstɛnt,"quy mô, phạm vi"
extra,"adj, n, adv",ekstrə,"thêm, phụ, ngoại; thứ thêm, phụ"
extraordinary,adj,iks'trɔ:dnri,"đặc biệt, lạ thường, khác thường"
extreme,adj,iks'tri:m,"vô cùng, khắc nghiệt, quá khích, cực đoan"
extreme,n,iks'tri:m,sự quá khích
extremely,adv,iks´tri:mli,"vô cùng, cực độ"
eye,n,ai,mắt
face,n,feis,"mặt, thể diện"
face,v,feis,"đương đầu, đối phó đối mặt"
facility,n,fəˈsɪlɪti,"điều kiện dễ dàng, sự dễ dàng, thuận lợi"
fact,n,fækt,"việc, sự việc, sự kiện"
factor,n,fæktə,nhân tố
factory,n,fæktəri,"nhà máy, xí nghiệp, xưởng"
fail,v,feil,"sai, thất bại"
failure,n,ˈfeɪlyər,"sự thất bại, người thất bại"
faint,adj,feɪnt,"nhút nhát, yếu ớt"
faintly,adv,feintli,"nhút nhát, yếu ớt"
fair,adj,feə,"hợp lý, công bằng; thuận lợi"
fairly,adv,feəli,"hợp lý, công bằng"
faith,n,feiθ,"sự tin tưởng, tin cậy; niềm tin, vật đảm bảo"
faithful,adj,feiθful,"trung thành, chung thủy, trung thực"
faithfully,adv,feiθfuli,"trung thành, chung thủy, trung thực. yours faithfully bạn chân thành"
fall,"v, n",fɔl,"rơi, ngã, sự rơi, ngã. fall over ngã lộn nhào, bị đổ"
False,adj,fo:ls,"sai, nhầm, giả dối"
fame,n,feim,"tên tuổi, danh tiếng"
familiar,adj,fəˈmiliər,"thân thiết, quen thộc"
family,"n, adj",ˈfæmili,"gia đình, thuộc gia đình"
famous,adj,feiməs,nổi tiếng
fan,n,fæn,người hâm mộ
fancy,v,ˈfænsi,"tưởng tượng, cho, nghĩ rằng"
fancy,adj,ˈfænsi,tưởng tượng
far,"adv, adj",fɑ:,xa
farm,n,fa:m,trang trại
farmer,n,fɑ:mə(r),"nông dân, người chủ trại"
farming,n,fɑ:miɳ,"công việc trồng trọt, đồng áng"
fashion,n,fæ∫ən,"mốt, thời trang"
fashionable,adj,fæʃnəbl,"đúng mốt, hợp thời trang"
fast,"adj, adv",fa:st,nhanh
fasten,v,fɑ:sn,"buộc, trói"
fat,adj,fæt,"béo, béo bở"
fat,n,fæt,"mỡ, chất béo"
father,n,fɑ:ðə,cha (bố)
faucet,n,ˈfɔsɪt,vòi (ở thùng rượu )
fault,n,fɔ:lt,"sự thiết sót, sai sót"
favour,n,feivз,)
favourite,adj,feivзrit,được ưa thích
favourite,n,feivзrit,người (vật) được ưa thích
fear,n,fɪər,"sự sợ hãi, e sợ"
fear,v,fɪər,"sợ, lo ngại"
feather,n,feðə,lông chim
feature,n,fi:tʃə,"nét đặt biệt, điểm đặc trưng"
feature,v,fi:tʃə,"mô tả nét đặc biệt, đặc trưng của…"
February (abbr Feb),n,´februəri,tháng 2
federal,adj,fedərəl,liên bang
fee,n,fi:,"tiền thù lao, học phí"
feed,v,fid,"cho ăn, nuôi"
feel,v,fi:l,cảm thấy
feel sick,v,fi:l sik,buồn nôn
feeling,n,fi:liɳ,"sự cảm thấy, cảm giác"
fellow,n,felou,"anh chàng (đáng yêu), đồng chí"
female,adj,´fi:meil,thuộc giống cái
female,n,´fi:meil,giống cái
fence,n,fens,hàng rào
festival,n,festivəl,"lễ hội, đại hội liên hoan"
fetch,v,fetʃ,"tìm về, đem về; làm bực mình; làm say mê, quyến rũ"
fever,n,fi:və,"cơn sốt, bệnh sốt"
few,"det, adj, pron",fju:,"ít,vài; một ít, một vài. a few một ít, một vài"
field,n,fi:ld,"cánh đồng, bãi chiến trường"
fight,v,fait,"đấu tranh, chiến đấu"
fight,n,fait,"sự đấu tranh, cuộc chiến đấu"
fighting,n,´faitiη,"sự chiến đấu, sự đấu tranh"
figure,n,figə(r),"hình dáng, nhân vật"
figure,v,figə(r),"hình dung, miêu tả"
file,n,fail,"hồ sơ, tài liệu"
fill,v,fil,"làm đấy, lấp kín"
film,"n, v",film,"phim, được dựng thành phim"
final,"adj, n",fainl,"cuối cùng, cuộc đấu chung kết"
finally,adv,´fainəli,"cuối cùng, sau cùng"
finance,n,"fɪˈnæns , ˈfaɪnæns",tài chính
finance,v,"fɪˈnæns , ˈfaɪnæns","tài trợ, cấp vốn"
financial,adj,fai'næn∫l,thuộc (tài chính)
find,v,faind,"tìm, tìm thấy. find out sth: khám phá, tìm ra"
fine,adj,fain,"tốt, giỏi"
finely,adv,´fainli,"đẹp đẽ, tế nhị, cao thượng"
finger,n,fiɳgə,ngón tay
finish,v,fiɳgə,"kết thúc, hoàn thành"
finish,n,fiɳgə,"sự kết thúc, phần cuối"
finished,adj,ˈfɪnɪʃt,"hoàn tất, hoàn thành"
fire,n,faiə,lửa
fire,v,faiə,đốt cháy. set fire to: đốt cháy cái gì
firm,"n, adj, adv",fə:m,"hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ"
firmly,adv,´fə:mli,"vững chắc, kiên quyết"
first,"det, adv, n",fə:st,tiếp
fish,n,fɪʃ,"cá, món cá"
fish,v,fɪʃ,"câu cá, bắt cá"
fishing,n,´fiʃiη,"sự câu cá, sự đánh cá"
fit,v,fit,"hợp, vưa"
fit,adj,fit,"thích hợp, xứng đáng"
fix,v,fiks,"đóng, gắn, lắp; sửa chữa, sửa sang"
fixed,adj,fiks,"đứng yên, bất động"
flag,n,flæg,quốc kỳ
flame,n,fleim,ngọn lửa
flash,v,flæ∫,"loé sáng, vụt sáng"
flash,n,flæ∫,"ánh sáng lóe lên, đèn nháy"
flat,adj,flæt,"bằng phẳng, bẹt, nhẵn"
flat,n,flæt,"dãy phòng, căn phòng, mặt phẳng"
flavour,n,fleivə,"vị, mùi"
flavour,v,fleivə,"cho gia vị, làm tăng thêm mùi vị"
flesh,n,fle∫,thịt
flight,n,flait,"sự bỏ chạy, rút chạy; sự bay, chuyến bay"
float,v,floʊt,"nổi, trôi, lơ lửng"
flood,n,flʌd,"lụt, lũ lụtl"
flood,v,flʌd,"tràn đầy, tràn ngập"
floor,n,flɔ:,"sàn, tầng (nhà)"
flour,n,´flauə,"bột, bột mỳ"
flow,n,flow,sự chảy
flow,v,flow,chảy
flower,n,flauə,"hoa, bông, đóa, cây hoa"
flu,n,flu:,bệnh cúm
fly,v,flaɪ,bay
fly,n,flaɪ,"sự bay, quãng đường bay"
flying,adj,´flaiiη,biết bay
flying,n,´flaiiη,"sự bay, chuyến bay"
focus,v,foukəs,tập trung
focus,n,foukəs,"trung tâm, trọng tâm ((n)bóng)"
fold,v,foʊld,"gấp, vén, xắn"
fold,n,foʊld,nếp gấp
folding,adj,´fouldiη,gấp lại được
follow,v,fɔlou,"đi theo sau, theo, tiếp theo"
following,adj,´fɔlouiη,"tiếp theo, theo sau, sau đây"
following,prep,´fɔlouiη,"sau, tiếp theo"
food,n,fu:d,"đồ ăn, thức, món ăn"
foot,n,fut,"chân, bàn chân"
football,n,ˈfʊtˌbɔl,bóng đá
for,prep,"fɔ:,fə","cho, dành cho..."
force,n,fɔ:s,sức mạnh
force,v,fɔ:s,"ép buộc, cưỡng ép"
forecast,n,fɔ:'kɑ:st,"sự dự đoán, dự báo"
forecast,v,fɔ:'kɑ:st,"dự đoán, dự báo"
foreign,adj,fɔrin,"(thuộc) nước ngoài, tư nước ngoài, ở nước ngoài"
forest,n,forist,rừng
forever,adv,fə'revə,mãi mãi
forget,v,fə'get,quên
forgive,v,fərˈgɪv,"tha, tha thứ"
fork,n,fɔrk,cái nĩa
form,n,fɔ:m,"hình thể, hình dạng, hình thức"
form,v,fɔ:m,"làm thành, được tạo thành"
formal,adj,fɔ:ml,hình thức
formally,adv,fo:mзlaiz,chính thức
former,adj,´fɔ:mə,"trước, cũ, xưa, nguyên"
formerly,adv,´fɔ:məli,"trước đây, thuở xưa"
formula,n,fɔ:mjulə,"công thức, thể thức, cách thức"
fortune,n,ˈfɔrtʃən,"sự giàu có, sự thịnh vượng"
forward,adj,ˈfɔrwərd,"ở phía trước, tiến về phía trước"
forward,adv,ˈfɔrwərd,"về tương lai, sau này ở phía trước, tiến về phía trước"
forwards,adv,ˈfɔrwərd,"về tương lai, sau này ở phía trước, tiến về phía trước"
found,v,faund,"tìm, tìm thấy"
foundation,n,faun'dei∫n,"sự thành lập, sự sáng lập; tổ chức"
frame,n,freim,"cấu trúc, hệ thống"
frame,v,freim,"dàn xếp, bố trí"
free,"adj, v, adv",fri:,"miễn phí, tự do, giải phóng, trả tự do"
freedom,n,fri:dəm,sự tự do; nền tự do
freely,adv,´fri:li,"tự do, thoải mái"
freeze,v,fri:z,"đóng băng, đông lạnh"
frequent,adj,ˈfrikwənt,thường xuyên
frequently,adv,´fri:kwəntli,thường xuyên
